latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-16.12214,126.06958,326.79,1.05,1.02,2023/6/9,126,T,79,6.1NRT,299.82,17.54,D
-16.12361,126.07926,333.68,1.05,1.02,2023/6/9,126,T,85,6.1NRT,301.46,26.85,D
-16.12978,126.05852,328.48,1.05,1.02,2023/6/9,126,T,81,6.1NRT,300.13,21.69,D
-16.13269,126.0778,316.18,1.05,1.02,2023/6/9,126,T,39,6.1NRT,301.58,6.85,D
-16.13415,126.08743,322.71,1.05,1.02,2023/6/9,126,T,66,6.1NRT,301.81,12.66,D
-16.15345,126.09758,317.49,1.05,1.02,2023/6/9,126,T,64,6.1NRT,301.73,8.19,D
-16.52332,124.61263,318.45,1.2,1.09,2023/6/9,126,T,68,6.1NRT,300.31,12.88,D
-16.52508,124.62372,314.5,1.2,1.09,2023/6/9,126,T,29,6.1NRT,299.7,7.73,D
-16.53824,124.64419,316.31,1.19,1.09,2023/6/9,126,T,49,6.1NRT,300.79,10.32,D
-16.53999,124.65533,313.15,1.19,1.09,2023/6/9,126,T,49,6.1NRT,299.65,7.45,D
-16.49261,122.92369,322.31,1.53,1.22,2023/6/9,126,T,39,6.1NRT,297.51,24.21,D
-16.49498,122.93777,321.07,1.52,1.22,2023/6/9,126,T,32,6.1NRT,298.31,22.43,D
-16.50578,122.93584,325.85,1.52,1.22,2023/6/9,126,T,34,6.1NRT,297.6,30.33,D
-16.52505,122.918,312.69,1.53,1.22,2023/6/9,126,T,19,6.1NRT,297.46,11.38,D
-17.2855,127.32193,322.2,1,1,2023/6/9,126,T,68,6.1NRT,298.36,12.73,D
-17.29574,127.32981,321.42,1,1,2023/6/9,126,T,55,6.1NRT,298.97,11.41,D
-16.61501,122.83718,312.45,1.54,1.22,2023/6/9,126,T,54,6.1NRT,298.64,11.07,D
-17.10102,122.69791,330.6,1.54,1.22,2023/6/9,126,T,84,6.1NRT,298.49,46,D
-17.10345,122.71217,318.71,1.54,1.22,2023/6/9,126,T,70,6.1NRT,299.06,20.35,D
-17.27208,122.83496,323.74,1.5,1.21,2023/6/9,126,T,78,6.1NRT,296.51,30.04,D
-17.27437,122.84881,313.35,1.5,1.21,2023/6/9,126,T,44,6.1NRT,295.51,12.74,D
-18.41562,126.60865,313.65,1,1,2023/6/9,126,T,60,6.1NRT,298.39,6.33,D
